gene	coverage	normalized_coverage	baseline_mean	baseline_std	baseline_mad
ERBB3|NM_001982|exon|18|CDS	184.0162	0.6891	0.6891	0.1103	0.0748
ERBB3|NM_001982|exon|19|CDS	101.3310	0.5047	0.5047	0.0544	0.0470
ERBB3|NM_001982|exon|1|CDS	168.0962	0.6734	0.6734	0.0685	0.0608
ERBB3|NM_001982|exon|20|CDS	279.3860	1.0992	1.0992	0.0710	0.0538
ERBB3|NM_001982|exon|21|CDS	269.0691	1.0700	1.0700	0.0607	0.0395
ERBB3|NM_001982|exon|22|CDS	140.0254	0.7185	0.7185	0.0563	0.0405
ERBB3|NM_001982|exon|23|CDS	225.9107	0.9130	0.9130	0.0723	0.0555
ERBB3|NM_001982|exon|24|CDS	172.8031	0.7698	0.7698	0.0685	0.0584
ERBB3|NM_001982|exon|25|CDS	372.7216	1.5298	1.5298	0.1622	0.1388
ERBB3|NM_001982|exon|26|CDS	67.9258	0.3666	0.3666	0.0680	0.0464
ERBB3|NM_001982|exon|27|CDS	249.0962	0.9785	0.9785	0.0739	0.0674
ERBB3|NM_001982|exon|28|CDS	190.7991	0.8182	0.8182	0.0611	0.0456
ERBB3|NM_001982|exon|2|CDS	348.1602	1.3329	1.3329	0.0721	0.0516
ERBB3|NM_001982|exon|3|CDS	188.3941	0.7537	0.7537	0.0916	0.0660
ERBB3|NM_001982|exon|4|CDS	194.1951	0.7630	0.7630	0.1120	0.0941
ERBB3|NM_001982|exon|5|CDS	85.2579	0.4160	0.4160	0.0639	0.0442
ERBB3|NM_001982|exon|6|CDS	214.2424	0.7906	0.7906	0.1174	0.0992
ERBB3|NM_001982|exon|7|CDS	243.8912	0.9605	0.9605	0.0996	0.0810
ERBB3|NM_001982|exon|8|CDS	342.6304	1.3449	1.3449	0.0812	0.0666
ERBB3|NM_001982|exon|9|CDS	315.1103	1.2622	1.2622	0.0777	0.0588
KIT|NM_000222|exon|10|CDS	315.0849	1.3174	1.3174	0.1385	0.1075
KIT|NM_000222|exon|11|CDS	296.5698	1.2044	1.2044	0.1064	0.0971
KIT|NM_000222|exon|12|CDS	293.6741	1.1864	1.1864	0.1162	0.1039
KIT|NM_000222|exon|13|CDS	272.3132	1.0648	1.0648	0.0804	0.0658
KIT|NM_000222|exon|14|CDS	200.3373	0.7421	0.7421	0.0581	0.0522
KIT|NM_000222|exon|15|CDS	298.7552	1.2394	1.2394	0.1500	0.1280
KIT|NM_000222|exon|16|CDS	221.0830	0.8276	0.8276	0.0384	0.0358
KIT|NM_000222|exon|17|CDS	284.1089	1.1864	1.1864	0.1326	0.1013
KIT|NM_000222|exon|18|CDS	236.5456	0.9519	0.9519	0.0727	0.0625
KIT|NM_000222|exon|19|CDS	191.7950	0.7445	0.7445	0.0693	0.0535
KIT|NM_000222|exon|1|CDS	248.3986	0.9935	0.9935	0.1152	0.0738
KIT|NM_000222|exon|20|CDS	236.1176	0.9218	0.9218	0.0917	0.0575
KIT|NM_000222|exon|21|CDS	250.6593	0.8733	0.8733	0.0454	0.0345
KIT|NM_000222|exon|2|CDS	253.8028	1.0016	1.0016	0.0485	0.0381
KIT|NM_000222|exon|3|CDS	303.7823	1.2366	1.2366	0.1668	0.1572
KIT|NM_000222|exon|4|CDS	160.0345	0.6132	0.6132	0.0771	0.0629
KIT|NM_000222|exon|5|CDS	249.2913	1.0216	1.0216	0.0975	0.0831
KIT|NM_000222|exon|6|CDS	249.6681	0.9131	0.9131	0.0557	0.0478
KIT|NM_000222|exon|7|CDS	245.5076	1.0096	1.0096	0.0892	0.0676
KIT|NM_000222|exon|8|CDS	246.4756	0.9198	0.9198	0.0455	0.0404
KIT|NM_000222|exon|9|CDS	283.9222	1.1493	1.1493	0.0732	0.0568
NM_000038	283.5535	1.1096	1.1096	0.0559	0.0401
NM_000059	282.6820	1.1105	1.1105	0.0741	0.0596
NM_000077	231.4164	0.8978	0.8978	0.0908	0.0806
NM_000141	224.4751	0.8719	0.8719	0.0675	0.0550
NM_000142	300.4612	1.1764	1.1764	0.1160	0.0935
NM_000179	256.6186	1.0376	1.0376	0.0560	0.0450
NM_000245	281.7472	1.1000	1.1000	0.0713	0.0550
NM_000249	248.1070	0.9490	0.9490	0.0806	0.0643
NM_000251	299.6555	1.1577	1.1577	0.0744	0.0600
NM_000314	46.6919	0.1756	0.1730	0.2117	0.1628
NM_000321	268.4142	1.0758	1.0758	0.1197	0.0916
NM_000455	317.3321	1.2183	1.2183	0.1183	0.0959
NM_000535	243.2339	0.9916	0.9916	0.1172	0.0853
NM_000546	271.6147	1.0678	1.0678	0.1070	0.0835
NM_000546,rs1042522	203.2781	0.7870	0.7870	0.1244	0.0916
NM_001007792	311.2015	1.0752	1.0752	0.0428	0.0350
NM_001012338	221.4078	0.8211	0.8211	0.0415	0.0321
NM_001014432	288.9695	1.0767	1.0767	0.0873	0.0622
NM_001025159	261.1294	0.9760	0.9760	0.0443	0.0313
NM_001128425	283.4201	1.1250	1.1250	0.0973	0.0746
NM_001174067	276.3143	1.0049	1.0049	0.0458	0.0345
NM_002067	253.0787	0.9985	0.9985	0.1561	0.1105
NM_002072	184.5872	0.7069	0.7069	0.0965	0.0731
NM_002168	206.3955	0.7809	0.7809	0.1078	0.0863
NM_002354	285.3433	1.1315	1.1315	0.0857	0.0681
NM_002524	154.2810	0.6182	0.6182	0.0693	0.0559
NM_002691	257.6235	0.9524	0.9524	0.0953	0.0729
NM_002755	252.7408	0.9803	0.9803	0.0905	0.0713
NM_002944	244.7573	0.9053	0.9053	0.0385	0.0307
NM_003000	137.5746	0.5549	0.5549	0.0900	0.0680
NM_003001	179.0985	0.7407	0.7407	0.0961	0.0711
NM_003002	288.7890	1.1361	1.1361	0.1003	0.0782
NM_004168	278.5672	1.0916	1.0916	0.1042	0.0804
NM_004304	288.8536	0.9937	0.9937	0.0321	0.0256
NM_004329	207.1868	0.7860	0.7860	0.0688	0.0551
NM_004333	235.1431	0.9258	0.9258	0.0831	0.0666
NM_004360	267.9268	1.0048	1.0048	0.0777	0.0559
NM_004448	259.8167	0.9664	0.9664	0.0780	0.0621
NM_004985	239.0754	0.9415	0.9415	0.0999	0.0834
NM_005228	212.4412	0.8200	0.8200	0.0725	0.0532
NM_005343	242.2543	0.9222	0.9222	0.1419	0.0942
NM_005359	308.6304	1.2881	1.2881	0.1684	0.1348
NM_005896	286.5410	1.0655	1.0655	0.0538	0.0445
NM_006180	216.5647	0.8535	0.8535	0.0845	0.0641
NM_006182	198.3137	0.7559	0.7559	0.0828	0.0634
NM_006206	224.7814	0.8652	0.8652	0.0605	0.0532
NM_006218	244.2139	0.9370	0.9370	0.0753	0.0570
NM_006231	283.4456	1.0704	1.0704	0.1149	0.0888
NM_00642	192.6901	0.7413	0.7413	0.0382	0.0317
NM_007294	307.2425	1.0557	1.0557	0.0461	0.0354
NM_013957	188.7134	0.7202	0.7202	0.0595	0.0427
NM_020975	297.3906	1.0600	1.0600	0.0444	0.0345
NM_138621	223.5536	0.8267	0.8267	0.0623	0.0495
rs1045642	153.6727	0.5922	0.5922	0.0979	0.0634
rs1056892	325.2545	1.2907	1.2907	0.1254	0.0994
rs1057910	244.5263	0.8987	0.8987	0.0440	0.0267
rs11045879	203.9792	0.7358	0.7358	0.0613	0.0423
rs11280056	136.3961	0.5568	0.5568	0.0627	0.0358
rs1142345	281.2174	1.0003	1.0003	0.1173	0.0918
rs11598702	266.8393	1.0093	1.0093	0.0923	0.0755
rs11615	286.2051	1.1202	1.1202	0.0719	0.0617
rs116855232	294.9818	1.1907	1.1907	0.1287	0.1009
rs12415607	242.5870	0.9117	0.9117	0.0578	0.0443
rs12613732	184.6226	0.6902	0.6902	0.0828	0.0708
rs1517114	176.0417	0.7016	0.7016	0.0738	0.0595
rs1695	183.5738	0.7175	0.7175	0.2619	0.1890
rs1799971	107.1961	0.4467	0.4467	0.0731	0.0475
rs1800460	211.0517	0.7872	0.7872	0.1328	0.1256
rs1800462	226.7593	0.8832	0.8832	0.1073	0.0875
rs1800566	235.5741	0.8849	0.8849	0.0939	0.0843
rs1800584	289.0256	1.0195	1.0195	0.0714	0.0561
rs1801019	337.7556	1.1718	1.1718	0.0691	0.0489
rs1801131	248.6809	0.9857	0.9857	0.0990	0.0865
rs1801133	312.4444	1.3025	1.3025	0.1264	0.1050
rs1801394	227.4038	0.9167	0.9167	0.0607	0.0434
rs1872328	297.8246	1.1860	1.1860	0.1290	0.1143
rs200591577	306.4528	1.2265	1.2265	0.1598	0.1366
rs2032582	237.7222	0.9140	0.9140	0.0843	0.0704
rs20417	252.9245	0.9871	0.9871	0.0776	0.0603
rs2072671	272.0169	1.1373	1.1373	0.2376	0.1199
rs2227310	269.7647	0.9604	0.9604	0.0562	0.0415
rs2228001	209.2449	0.7760	0.7760	0.0713	0.0575
rs2229109	275.7308	1.0478	1.0478	0.0791	0.0595
rs2234693	273.7551	0.9916	0.9916	0.1116	0.0656
rs25487	296.5600	1.1073	1.1073	0.1433	0.0987
rs2740574	107.4400	0.5111	0.5111	0.0835	0.0642
rs2813543	279.9623	1.0733	1.0733	0.0886	0.0685
rs2952768	206.1333	0.8289	0.8289	0.1728	0.1377
rs3064744	196.5652	0.7252	0.7252	0.0543	0.0421
rs3212986	328.9091	1.1494	1.1494	0.0374	0.0301
rs3745274	200.7308	0.7620	0.7620	0.0741	0.0482
rs3892097	58.1930	0.2168	0.2168	0.0727	0.0555
rs3918290	227.9500	0.9215	0.9215	0.1146	0.0971
rs4135385	256.2857	1.0131	1.0131	0.1038	0.0641
rs4148157	242.5283	0.9074	0.9074	0.0599	0.0550
rs4148323	292.2564	1.0347	1.0347	0.0398	0.0229
rs4149117	224.5122	0.8621	0.8621	0.0597	0.0492
rs4240803	379.3793	1.2170	1.2170	0.0536	0.0290
rs4353229	213.4000	0.8147	0.8147	0.0735	0.0640
rs4553808	223.0000	0.8516	0.8516	0.1225	0.0753
rs4646	133.3770	0.4883	0.4883	0.1193	0.0905
rs4673993	215.0638	0.8470	0.8470	0.0491	0.0312
rs4680	322.1053	1.2338	1.2338	0.0736	0.0489
rs4880	125.5536	0.4809	0.4809	0.1064	0.0855
rs55886062	93.1915	0.3834	0.3834	0.0543	0.0433
rs60369023	272.5200	1.0266	1.0266	0.0753	0.0605
rs67376798	172.8571	0.6432	0.6432	0.0622	0.0449
rs716274	279.9375	1.0518	1.0518	0.0620	0.0443
rs738409	190.8868	0.6902	0.6902	0.0867	0.0635
rs75017182	228.7500	0.8587	0.8587	0.0598	0.0399
rs7779029	120.3469	0.5580	0.5580	0.0791	0.0580
rs78060119	146.0351	0.5321	0.5321	0.1097	0.0887
rs7853758	265.3878	1.0030	1.0030	0.0760	0.0574
rs7921977	175.1731	0.7484	0.7484	0.1257	0.0787
rs885004	240.6552	0.9476	0.9476	0.1291	0.0998
rs924607	247.3077	0.9833	0.9833	0.0811	0.0549
rs9322335	239.5283	0.9129	0.9129	0.0849	0.0630
rs9376230	346.3488	1.1780	1.1780	0.0651	0.0474
rs9483947	254.3333	1.0109	1.0109	0.0593	0.0508
rs9679162	361.6364	1.4473	1.4473	0.1951	0.1424
